price,bedrooms,bathrooms,address,property_type,url
465000,4,2.0,"Sovereign Gardens, Miskin, Pontyclun, CF72",Detached,https://www.rightmove.co.uk/properties/164065682#/?channel=RES_BUY
270000,0,1.0,"4 Ocean House, Clarence Road, Cardiff",Studio,https://www.rightmove.co.uk/properties/156267938#/?channel=RES_BUY
290000,2,2.0,"Henke Court, Atlantic Wharf, Cardiff Bay",Apartment,https://www.rightmove.co.uk/properties/151394741#/?channel=RES_BUY
270000,2,1.0,"Nantgarw Road, Caerphilly, CF83 1AQ",Detached Bungalow,https://www.rightmove.co.uk/properties/164065457#/?channel=RES_BUY
230000,2,2.0,"Henke Court, Cardiff Bay",Apartment,https://www.rightmove.co.uk/properties/161775242#/?channel=RES_BUY
350000,4,1.0,"Hafan Werdd, Caerphilly",Detached,https://www.rightmove.co.uk/properties/164064242#/?channel=RES_BUY
320000,3,2.0,"Llys Y Fran, Church Village, Pontypridd, CF38",Detached,https://www.rightmove.co.uk/properties/164063735#/?channel=RES_BUY
325000,3,1.0,"Arabella Street, Roath, Cardiff",Terraced,https://www.rightmove.co.uk/properties/164063648#/?channel=RES_BUY
475000,4,2.0,"Hazel Tree Close, Radyr, Cardiff",Detached,https://www.rightmove.co.uk/properties/164062490#/?channel=RES_BUY
419995,4,2.0,"Brynteg Green, Pontypridd",Detached,https://www.rightmove.co.uk/properties/164060300#/?channel=RES_BUY
265000,2,1.0,"Cae Tymawr, Whitchurch, Cardiff",Semi-Detached,https://www.rightmove.co.uk/properties/164060003#/?channel=RES_BUY
399950,4,2.0,"Heol Miskin, Pontyclun",Detached Bungalow,https://www.rightmove.co.uk/properties/164059778#/?channel=RES_BUY
340000,3,2.0,"Beech Close, Caerphilly, CF83",Detached,https://www.rightmove.co.uk/properties/164056640#/?channel=RES_BUY
230000,2,2.0,"Cathedral Road, Cardiff",Apartment,https://www.rightmove.co.uk/properties/164055425#/?channel=RES_BUY
200000,2,1.0,"Clifton Street, Adamsdown, Cardiff",Terraced,https://www.rightmove.co.uk/properties/164054867#/?channel=RES_BUY
450000,3,2.0,"Joseph Parry Close, Llandough, Penarth",Detached,https://www.rightmove.co.uk/properties/164054555#/?channel=RES_BUY
425000,4,2.0,"Heol Y Ffynnon, Efail Isaf, Pontypridd",Detached,https://www.rightmove.co.uk/properties/163153820#/?channel=RES_BUY
200000,2,1.0,"NEWPORT Road, Rumney",Flat,https://www.rightmove.co.uk/properties/159151355#/?channel=RES_BUY
450000,4,1.0,"The Uplands, Radyr, Cardiff",Detached,https://www.rightmove.co.uk/properties/164050829#/?channel=RES_BUY
395000,3,2.0,"Lavernock Road, Penarth",Terraced,https://www.rightmove.co.uk/properties/164047955#/?channel=RES_BUY
239950,3,1.0,"Heol Undeb, Beddau, Pontypridd, CF38 2LB",Semi-Detached,https://www.rightmove.co.uk/properties/164046272#/?channel=RES_BUY
500000,4,3.0,"Alcan Grove, Rogerstone, Newport. NP10 9ND",Detached,https://www.rightmove.co.uk/properties/163347557#/?channel=RES_BUY
400000,4,1.0,"Manor Way, Birchgrove",Semi-Detached,https://www.rightmove.co.uk/properties/163051805#/?channel=RES_BUY
315000,2,2.0,"Durlston Close, Cardiff",Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/161039711#/?channel=RES_BUY
445000,5,2.0,"Albany Road, Penylan",Terraced,https://www.rightmove.co.uk/properties/87136452#/?channel=RES_BUY
225000,3,1.0,"Singleton Road, Splott, Cardiff, CF24",End of Terrace,https://www.rightmove.co.uk/properties/163504898#/?channel=RES_BUY
235000,2,1.0,"Harrismith Road, Penylan, Cardiff",Apartment,https://www.rightmove.co.uk/properties/161911316#/?channel=RES_BUY
399950,3,2.0,"Castle Avenue, Penarth",Semi-Detached,https://www.rightmove.co.uk/properties/164037230#/?channel=RES_BUY
265000,3,,"Swan Street, Llantrisant, CF72 8ED",Terraced,https://www.rightmove.co.uk/properties/162152024#/?channel=RES_BUY
270000,2,1.0,"1A Sully Terrace, Penarth, Vale of Glamorgan, CF64 3DS",Apartment,https://www.rightmove.co.uk/properties/160157324#/?channel=RES_BUY
285000,3,1.0,"Dulwich Gardens, Cardiff",Flat,https://www.rightmove.co.uk/properties/157653398#/?channel=RES_BUY
285000,3,2.0,"Clos Celyn, Barry",Terraced,https://www.rightmove.co.uk/properties/164027369#/?channel=RES_BUY
350000,3,3.0,"Goetre Fawr, Radyr, Cardiff",Town House,https://www.rightmove.co.uk/properties/164026616#/?channel=RES_BUY
299950,3,2.0,"Mansell Avenue, Michaelston, Cardiff CF5 4TB",End of Terrace,https://www.rightmove.co.uk/properties/164025338#/?channel=RES_BUY
200000,2,2.0,"Sorrento House, The Piazza, Cardiff Bay",Apartment,https://www.rightmove.co.uk/properties/161172215#/?channel=RES_BUY
269950,3,1.0,"Sunnycroft Lane, Dinas Powys, CF64 4QQ",Terraced,https://www.rightmove.co.uk/properties/164020934#/?channel=RES_BUY
465000,4,2.0,"8 Deepfield Close, Cardiff, CF5 4SH",Detached,https://www.rightmove.co.uk/properties/164020586#/?channel=RES_BUY
300000,2,2.0,"Cardiff Road, Llandaff, Cardiff",Terraced,https://www.rightmove.co.uk/properties/163549298#/?channel=RES_BUY
